Clasificación Industrial Internacional Uniforme Versión 4 A.C (CIIU);Departamento de la dirección del domicilio;Ciudad de la dirección del domicilio;Ingresos de actividades ordinarias;Costo de ventas;Ganancia bruta;Otros ingresos;Gastos de ventas;Gastos de administración;Otros gastos;Otras ganancias (pérdidas);Ganancia (pérdida) por actividades de operación;Diferencia entre el importe en libros de dividendos pagaderos e importe en libros de activos distribuidos distintos al efectivo;Ganancias (pérdidas) que surgen de la baja en cuentas de activos financieros medidos al costo amortizado;Ingresos financieros;Costos financieros;Deterioro de valor de ganancias y reversión de pérdidas por deterioro de valor (pérdidas por deterioro de valor) determinado de acuerdo con la NIIF 9;Ganancias (pérdidas) que surgen de diferencias entre el costo amortizado anterior y el valor razonable de activos financieros reclasificados de la categoría de medición costo amortizado a la categoría de medición de valor razonable con cambios en resultados;Ganancia (pérdida) acumulada anteriormente reconocida en otro resultado integral que surge de la reclasificación de activos financieros de la categoría de medición de valor razonable con cambios en otro resultado integral a la de valor razonable con cambios en resultados;Ganancias (pérdidas) de cobertura por cobertura de un grupo de partidas con posiciones de riesgo compensadoras;Ganancia (pérdida), antes de impuestos;Ingreso (gasto) por impuestos;Ganancia (pérdida) procedente de operaciones continuadas;Ganancia (pérdida) procedente de operaciones discontinuadas;Ganancia (pérdida)
H4930 - Transporte por tuberías;BOGOTA D.C.;BOGOTA D.C.;1280087501;211434996;1068652505;518601;10888517;19462303;;;1038820286;;;93766912;;;;;;1132587198;253919393;878667805;;878667805
H4930 - Transporte por tuberías;BOGOTA D.C.;BOGOTA D.C.;345341257;68991057;276350200;1297021;;5326805;7316716;;265003700;;;9573579;;;;;;274577279;87737163;186840116;;186840116
H4930 - Transporte por tuberías;BOGOTA D.C.;BOGOTA D.C.;1269951597;210105089;1059846508;521537;10995074;19714849;;;1029658122;;;;173721640;;;;;855936482;328295928;527640554;;527640554
B0510 - Extracción de hulla (carbón de piedra);BOGOTA D.C.;BOGOTA D.C.;547365189;667500534;-120135345;;40370796;6433695;;127926859;-39012977;;;3221283;18086470;;;;;-53878164;30576990;-84455154;;-84455154
N7911 - Actividades de las agencias de viaje;ANTIOQUIA;ENVIGADO-ANTIOQUIA;10498901;2820537;7678364;204440;;1172780;2718133;0;3991891;;;5110192;5026816;;;;;4075267;1436579;2638688;;2638688
H4930 - Transporte por tuberías;BOGOTA D.C.;BOGOTA D.C.;1216624255;218105461;998518794;5269820;11927981;18607768;;;973252865;;;;72100638;;;;;901152227;276491490;624660737;;624660737
M7110 - Actividades de arquitectura e ingeniería y otras actividades conexas de consultoría técnica;BOLIVAR;CARTAGENA-BOLIVAR;5220725;2785818;2434907;120010;;2041618;143129;;370170;;;91804;281008;;;;;180966;-26116;207082;;207082
J6202 - Actividades de consultoría informática y actividades de administración de instalaciones informáticas;BOGOTA D.C.;BOGOTA D.C.;209306427;138276284;71030143;696112;;39451679;34551428;;-2276852;;;;3185442;;;;;-5462294;9156763;-14619057;;-14619057
G4669 - Comercio al por mayor de otros productos n.c.p.;BOGOTA D.C.;BOGOTA D.C.;1006833389;661555775;345277614;1200917;162037834;93520107;8240400;;82680190;;;898026;383162;;;;;83195054;29562532;53632522;;53632522
C1811 - Actividades de impresión;VALLE;PALMIRA-VALLE;49998716;38495968;11502748;886120;4072887;2122394;636098;;5557489;0;0;129379;4138026;0;0;0;0;1548842;364786;1184056;;1184056
G4669 - Comercio al por mayor de otros productos n.c.p.;VALLE;PALMIRA-VALLE;20990474;15489726;5500748;420482;5538912;846245;140847;;-604774;;;161954;938475;;;;;-1381295;12414;-1393709;;-1393709
A0122 - Cultivo de plátano y banano;ANTIOQUIA;MEDELLIN-ANTIOQUIA;2136451;1687844;448607;47844;144376;242986;14020;;95069;;;8634;8472;;;;;95231;38724;56507;;56507
G4690 - Comercio al por mayor no especializado;BOGOTA D.C.;BOGOTA D.C.;62549336;38305128;24244208;139886;;15289080;362992;;8732022;;;3304592;3990231;;;;;8046383;2541328;5505055;;5505055
A0126 - Cultivo de palma para aceite (palma africana) y otros frutos oleaginosos;BOGOTA D.C.;BOGOTA D.C.;60967625;48714508;12253117;199513;2647624;1832619;318345;;7654042;;;25491;1286853;;;;;6392680;661917;5730763;;5730763
C2229 - Fabricación de artículos de plástico n.c.p.;BOGOTA D.C.;BOGOTA D.C.;32258829;26046799;6212030;4475700;1907153;3887357;2228376;;2664844;0;0;161701;838066;0;0;0;0;1988479;449047;1539432;;1539432
G4690 - Comercio al por mayor no especializado;BOGOTA D.C.;BOGOTA D.C.;31526127;25664361;5861766;;4161915;2234458;9868;;-544475;;;11693;1049153;;;;;-1581935;-460054;-1121881;;-1121881
B0510 - Extracción de hulla (carbón de piedra);ATLANTICO;BARRANQUILLA-ATLANTICO;18164445;826830;17337615;0;0;452494;972;31281;16915430;0;0;496;230;0;0;0;0;16915696;-301198;17216894;0;17216894
C1089 - Elaboración de otros productos alimenticios n.c.p.;ANTIOQUIA;ITAGUI-ANTIOQUIA;126962680;88140872;38821808;1802142;14118735;13733907;;;12771308;;;5108615;7960589;;;;;9919334;3224398;6694936;;6694936
J6010 - Actividades de programación y transmisión en el servicio de radiodifusión sonora;BOGOTA D.C.;BOGOTA D.C.;561062;;561062;3;;125089;1;;435975;;;107;120;;;;;435962;138959;297003;;297003
C2410 - Industrias básicas de hierro y de acero;BOLIVAR;TURBACO-BOLIVAR;491419110;510265241;-18846131;1946578;41136098;33717288;3909426;;-95662365;0;-6255682;171974;13868054;0;0;0;0;-115614127;-20753501;-94860626;0;-94860626
G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores;VALLE;CALI-VALLE;15180792;10043826;5136966;96120;2300594;746244;68659;;2117589;;;45411;46219;;;;;2116781;638942;1477839;;1477839
G4632 - Comercio al por mayor de bebidas y tabaco;BOGOTA D.C.;BOGOTA D.C.;100037791;60088181;39949610;5671949;19848269;13264809;2249348;-48903;10210230;;;36771;1210743;;;;;9036258;2649469;6386789;;6386789
A0125 - Cultivo de flor de corte;ANTIOQUIA;RIONEGRO-ANTIOQUIA;5065771;7485103;-2419332;1403254;208012;956142;130059;;-2310291;;;;1351610;;;;;-3661901;;-3661901;;-3661901
"C2023 - Fabricación de jabones y detergentes, preparados para limpiar y pulir; perfumes y preparados de tocador";CUNDINAMARCA;TOCANCIPA-CUNDINAMARCA;1125004265;701507235;423497030;9829985;194084491;203856429;;;35386095;;;113102109;136383489;;;;;12104715;5906898;6197817;;6197817
