"";"WMT.Adjusted";"PG.Adjusted";"NFLX.Adjusted";"KO.Adjusted";"JNJ.Adjusted"
"1";95,045105;96,734016;359,970001;47,716312;129,655045
"2";95,99585;96,714523;351,769989;47,841225;129,935303
"3";96,564323;95,954384;359,070007;43,805614;129,800018
"4";98,00515;95,973877;356,869995;43,469318;131,800522
"5";100,171272;97,445435;361,920013;43,075359;131,133682
"6";97,897331;96,75351;359,910004;43,334793;131,771515
"7";97,417061;97,240791;356,970001;44,065048;130,872757
"8";97,573875;97,698822;363,019989;43,507744;132,013123
"9";97,15242;97,036125;363,910004;43,181053;132,499527
"10";96,730957;97,289513;364,970001;42,940838;132,411972
"11";96,162468;96,392929;362,869995;43,181053;132,178497
"12";97,024994;96,042091;358,100006;43,565399;132,927582
"13";95,986038;95,934898;357,320007;43,603836;134,591125
"14";95,907623;96,353943;351,040009;43,86327;134,71759
"15";96,387909;96,568352;354,299988;43,815224;134,99971
"16";96,309494;96,412422;359,609985;43,671093;135,31102
"17";95,515572;96,042091;352,600006;43,507744;134,484116
"18";95,652794;95,905655;349,600006;43,084969;134,30899
"19";96,525131;97,045883;358,859985;44,372517;134,79541
"20";96,417313;97,503922;356,269989;44,247608;135,398575
"21";97,064209;98,605156;361,209991;44,410954;135,622314
"22";96,788284;98,741592;358,820007;44,294647;134,270096
"23";96,985374;99,833099;361,459991;43,906944;133,861496
"24";98,207298;98,926765;363,440002;44,013561;133,443176
"25";98,394531;99,306839;358,779999;44,158951;134,67868
"26";97,202164;99,131416;375,220001;44,129875;133,559921
"27";97,616035;99,881821;377,869995;44,110481;134,347916
"28";96,847412;99,072945;361,01001;44,51757;133,190247
"29";96,739014;99,365318;366,230011;44,614494;132,898392
"30";96,886818;100,398331;359,970001;45,205738;134,805145
"31";95,793007;100,281387;353,369995;45,176662;134,931625
"32";95,714172;100,914848;354,609985;45,147587;135,10672
"33";96,108345;101,40213;356,559998;45,418976;135,991974
"34";96,394112;101,002556;366,959991;45,283279;135,203995
"35";95,526947;101,109756;367,720001;45,137894;133,968521
"36";95,773308;101,051292;369,75;44,75988;133,443176
"37";96,679886;100,797913;367,880005;45,050655;131,886658
"38";97,389397;101,012299;365,48999;45,040966;132,480072
"39";97,783569;102,298714;361,410004;45,118507;132,441162
"40";97,251434;101,996613;364,709991;45,234818;131,886658
"41";98,14817;101,986855;363,920013;45,205738;131,896393
"42";99,330688;102,084305;367,649994;45,273582;131,536438
"43";100,07959;102,386421;351,140015;45,302662;132,285507
"44";100,93692;103,039375;348,869995;45,554672;132,810852
"45";101,429626;103,711807;359,459991;45,506203;134,270096
"46";101,656281;103,884445;354,73999;45,826054;134,7565
"47";101,675987;104,080734;360,350006;46,019909;133,783676
"48";100,877792;104,041481;377,339996;45,942371;134,085251
"49";101,567581;101,244408;381,890015;46,727455;136,098999
"50";102,020882;101,764565;374,230011;46,504528;135,418045
"51";102,011024;101,362167;368,329987;46,368835;135,855789
"52";100,050041;103,894264;374,850006;46,775921;136,575699
"53";100,07959;102,83432;371,829987;46,930996;136,040634
"54";101,340942;104,502754;370,540009;47,551323;137,363678
"55";99,882515;102,981529;378,809998;47,095772;138,093307
"56";99,675575;103,599831;379,059998;46,90192;137,441513
"57";100,592026;104,110176;385,029999;47,221779;138,151672
"58";100,966476;103,717606;378,670013;46,979462;138,229492
"59";99,823395;102,755798;370,459991;46,523918;136,167099
"60";98,837975;103,118927;364,369995;46,378525;135,991974
"61";98,610115;102,304344;362,75;45,942371;134,9608
"62";100,957977;104,041481;361,040009;46,708073;135,272095
"63";98,956841;104,139618;345,26001;46,572376;133,472366
