edad;sexo;cabeza_de_hogar;caracterizacion_ciudadano;tipo_de_emprendimiento;idea_de_negocio;estrato;barrio_vereda_ciudadano;comuna_ciudadano;zona_ciudadano;fecha_de_beneficio_dia;fecha_de_beneficio_mes;"fecha_de_beneficio_año"
63;masculino;si;emprendedor;artesanal;emprendedor;2;robledo;7;nor-occidental;15;9;2017.0
56;masculino;no;emprendedor;artesanal;emprendedor;3;bombona;10;centro-oriental;15;9;2017.0
74;masculino;si;emprendedor;artesanal;emprendedor;3;guayabal;15;sur-oriental;15;9;2017.0
54;femenino;si;emprendedor;artesanal;emprendedor;4;america - santa monica #2;12;centro-oriental;15;9;2017.0
50;femenino;si;emprendedor;artesanal;emprendedor;4;america - santa monica #2;12;centro-oriental;15;9;2017.0
52;femenino;si;emprendedor;artesanal;emprendedor;3;san javier;13;centro-oriental;15;9;2017.0
27;femenino;no;emprendedor;artesanal;emprendedor;3;robledo;7;nor-occidental;15;9;2017.0
61;masculino;no;emprendedor;artesanal;emprendedor;3;campovaldes;4;nor-oriental;15;9;2017.0
43;femenino;no;emprendedor;artesanal;emprendedor;2;doce de octubre;6;nor-occidental;15;9;2017.0
39;femenino;no;emprendedor;artesanal;emprendedor;2;santa elena parte central;90;oriente;15;9;2017.0
44;masculino;no;emprendedor;artesanal;emprendedor;3;manrique;3;nor-oriental;15;9;2017.0
39;femenino;si;emprendedor;artesanal;emprendedor;2;manrique oriental;3;nor-oriental;15;9;2017.0
59;masculino;si;emprendedor;artesanal;emprendedor;3;aranjuez;4;nor-oriental;15;9;2017.0
53;femenino;si;emprendedor;artesanal;emprendedor;2;campovaldes;4;nor-oriental;15;9;2017.0
41;femenino;si;emprendedor;artesanal;emprendedor;3;unidad residencial la macarena - naranjal;11;centro-oriental;15;9;2017.0
51;masculino;no;emprendedor;artesanal;emprendedor;3;castilla;5;nor-occidental;15;9;2017.0
56;femenino;si;emprendedor;artesanal;emprendedor;2;santa elena;90;oriente;15;9;2017.0
36;masculino;si;emprendedor;artesanal;emprendedor;3;campovaldes;4;nor-oriental;15;9;2017.0
54;masculino;si;emprendedor;artesanal;emprendedor;2;castilla;5;nor-occidental;15;9;2017.0
32;femenino;no;emprendedor;artesanal;emprendedor;2;castilla;5;nor-occidental;15;9;2017.0
33;femenino;no;emprendedor;artesanal;emprendedor;5;ciudad del rio;14;sur-oriental;15;9;2017.0
