Fecha;TRM
1/01/2000;1923,57
1/02/2000;1950,64
1/03/2000;1956,25
1/04/2000;1986,77
1/05/2000;2055,69
1/06/2000;2120,17
1/07/2000;2161,34
1/08/2000;2187,38
1/09/2000;2213,76
1/10/2000;2176,61
1/11/2000;2136,63
1/12/2000;2186,21
1/01/2001;2241,4
1/02/2001;2243,42
1/03/2001;2278,78
1/04/2001;2323,1
1/05/2001;2346,93
1/06/2001;2305,66
1/07/2001;2304,28
1/08/2001;2288,9
1/09/2001;2328,23
1/10/2001;2320,65
1/11/2001;2310,47
1/12/2001;2306,9
1/01/2002;2274,96
1/02/2002;2286,7
1/03/2002;2282,33
1/04/2002;2263,11
1/05/2002;2310,24
1/06/2002;2364,25
1/07/2002;2506,72
1/08/2002;2647,22
1/09/2002;2751,23
1/10/2002;2827,86
1/11/2002;2726,66
1/12/2002;2814,89
1/01/2003;2913
1/02/2003;2951,86
1/03/2003;2959,01
1/04/2003;2926,62
1/05/2003;2858,94
1/06/2003;2826,95
1/07/2003;2858,82
1/08/2003;2867,29
1/09/2003;2840,08
1/10/2003;2876,2
1/11/2003;2844,55
1/12/2003;2807,2
1/01/2004;2749,14
1/02/2004;2717,94
1/03/2004;2670,8
1/04/2004;2639,6
1/05/2004;2719,43
1/06/2004;2716,56
1/07/2004;2653,32
1/08/2004;2598,59
1/09/2004;2552,78
1/10/2004;2580,7
1/11/2004;2530,19
1/12/2004;2411,37
1/01/2005;2362,96
1/02/2005;2340,49
1/03/2005;2353,71
1/04/2005;2350,01
1/05/2005;2339,22
1/06/2005;2331,79
1/07/2005;2323,38
1/08/2005;2306,19
1/09/2005;2294,52
1/10/2005;2292,55
1/11/2005;2279,85
1/12/2005;2278,91
1/01/2006;2273,66
1/02/2006;2256,24
1/03/2006;2262,36
1/04/2006;2334,29
1/05/2006;2417,99
1/06/2006;2542,24
1/07/2006;2511,74
1/08/2006;2389,65
1/09/2006;2398,88
1/10/2006;2364,29
1/11/2006;2290,46
1/12/2006;2261,34
1/01/2007;2237,06
1/02/2007;2227,63
1/03/2007;2201,39
1/04/2007;2144,6
1/05/2007;2007,91
1/06/2007;1923,76
1/07/2007;1950,87
1/08/2007;2058,28
1/09/2007;2117,05
1/10/2007;2003,26
1/11/2007;2047,72
1/12/2007;2014,2
1/01/2008;1980,59
1/02/2008;1903,27
1/03/2008;1846,9
1/04/2008;1796,13
1/05/2008;1778,01
1/06/2008;1712,28
1/07/2008;1783,09
1/08/2008;1844,29
1/09/2008;2066,04
1/10/2008;2289,17
1/11/2008;2329,16
1/12/2008;2252,72
1/01/2009;2252,98
1/02/2009;2513,74
1/03/2009;2477,21
1/04/2009;2379,36
1/05/2009;2229,95
