estado;año_inicio_comercialización;tipo;espacio_de_comercialización;corregimiento_o_barrio;sexo;inscrito_en_cedezo;tipo_de_inscripción;comuna;productos;"vereda"
activo;2016;productor;cristo rey;santa elena;femenino;no se encuentra inscrito;directo;santa elena;verduras;"mazo"
activo;2016;productor;eventos;santa elena;masculino;no se encuentra inscrito;directo;santa elena;prod. agricolas verduras y hortalizas;"no dato"
activo;2017;productor;eventos;santa elena;femenino;no se encuentra inscrito;directo;santa elena;plantas aromaticas, condimentarias, flores;"el cerro"
activo;2016;productor;parque de la vida;santa elena;masculino;no se encuentra inscrito;directo;santa elena;hortalizas;"mazo"
activo;2016;productor;parque de la vida;santa elena;masculino;no se encuentra inscrito;directo;santa elena;hortalizas;"mazo"
activo;2017;productor-plantas;eventos;san antonio de prado;femenino;no se encuentra inscrito;directo;san antonio de prado;plantas -cactus-bonsai;"otro"
activo;2017;productor-plantas;eventos;san antonio de prado;femenino;no se encuentra inscrito;directo;san antonio de prado;orquideas;"montañita"
activo;2017;productor-plantas;hall alcaldia de medellin;san antonio de prado;femenino;no se encuentra inscrito;directo;san antonio de prado;suculentas, captus, flores;"potrerito"
activo;2017;productor;uva el poblado;santa elena;femenino;no se encuentra inscrito;directo;santa elena;menta, tomillo, albahaca, limoncillo, oregano, zuchinni, pepino, mora, cebolla, acelga roja, acelga amarilla, acelga blanca, limones, aguacates, remolacha, manzanilla, flores, espinaca,lechuga, tomate de arbol, higo;"piedra gorda"
activo;2017;productor;eventos;santa elena;femenino;no se encuentra inscrito;directo;santa elena;frijol, arveja, mora, aromaticas , papa y hortalizas;"mazo"
activo;2018;productor-plantas;pilarica;san cristobal;masculino;no se encuentra inscrito;directo;san cristobal;plantas suculentas y elementos decorativos en madera;"no dato"
activo;2018;productor;eventos;santa elena;femenino;no se encuentra inscrito;directo;santa elena;papa, batata, flores, aromaticas, ruda, romero,;"el rosario"
activo;2018;productor;eventos;santa elena;femenino;no se encuentra inscrito;directo;santa elena;aji picante, repollo, acelga, arracacha, papa, espinaca, aromaticas, cidron, apio lulo tomate;"el plan"
activo;2018;productor;indirecto;santa elena;masculino;no se encuentra inscrito;indirecto;santa elena;chocolo, frijol, zanahoria, zuquini, papa criolla,papa capira, tomate de arbol, cebolla larga;"mazo"
activo;2018;productor-plantas;eventos;san antonio de prado;no dato;no se encuentra inscrito;directo;san antonio de prado;suculentas, captus, flores;"san josé"
activo;2019;productor-plantas;eventos;san antonio de prado;femenino;no se encuentra inscrito;directo;san antonio de prado;suculentas, cactus bromelias, orquiedeas plantas ornamentales de interior;"el salado"
activo;2016;productor-transformador;ciudad del rio;santa elena;masculino;2. orientacion (ingreso al programa);directo;santa elena;miel y hortalizas;"mazo"
activo;2016;productor;ciudad del rio;san cristobal;femenino;no se encuentra inscrito;directo;san cristobal;frutas, verduras y aromaticas;"san jose de la montaña"
inactivo;2016;transformador;inactivo;santa elena;masculino;no se encuentra inscrito;directo;santa elena;granja de nacho;"el cerro"
inactivo;2016;transformador;inactivo;altavista;femenino;no se encuentra inscrito;directo;altavista;empanda, papas rellena;"no dato"
activo;2016;transformador;ciudad del rio;belen;femenino;2. orientacion (ingreso al programa);directo;belen;jugos y café;"no dato"
activo;2016;productor;ciudad del rio;santa elena;masculino;no se encuentra inscrito;directo;santa elena;frutas y verduras- flores;"barro blanco"
inactivo;2016;transformador;inactivo;medellin;femenino;2. orientacion (ingreso al programa);directo;medellin;sumo, pasabocas, arepas, empanadas;"no dato"
activo;2016;transformador;ciudad del rio;moravia;masculino;2. orientacion (ingreso al programa);directo;moravia;arepas de huevo;"palmitas"
activo;2016;transformador;ciudad del rio;altavista;femenino;2. orientacion (ingreso al programa);directo;altavista;arepas de chocolo;"aguas frias"
activo;2016;transformador;ciudad del rio;san javier;femenino;2. orientacion (ingreso al programa);directo;san javier;jabones;"no dato"
activo;2016;productor;ciudad del rio;santa elena;masculino;no se encuentra inscrito;directo;santa elena;frutas y verduras;"barro blanco"
inactivo;2016;transformador;inactivo;estadio;femenino;no se encuentra inscrito;directo;estadio;tamales;"no dato"
inactivo;2016;transformador;inactivo;santa elena;masculino;2. orientacion (ingreso al programa);directo;santa elena;conservas;"la palma"
