ciiu;personal_mujer;personal_hombre;gasto_personal;gasto_financiero;costos_gastos_produccion;gastos_adm_ventas;inversion_AF;ventas
1051;36;140;9352991;3240559;6846304;22920307;4979745;192609248
1030;40;176;7334998;1468298;5941761;12310286;5615593;115741258
3290;15;172;6668544;1547666;6996020;2564695;773444;44580029
3091;88;373;22088759;35203208;4175751;171278876;10501572;162509864
3290;18;53;5219070;2861773;11037978;13691919;6423171;87324374
3290;18;53;5219070;2861773;11037978;13691919;6423171;87324374
2825;43;215;9386665;647945;5445839;5027657;364272;33370073
2022;23;97;4756263;630568;1622747;13070522;265025;59514053
1081;108;149;11081213;20390274;1843527;72757387;50853587;26727389
1410;197;70;8575341;542136;4002790;24161468;312822;57342249
1081;52;158;3940253;612839;1351288;787508;5530102;23168133
1011;17;45;1459203;781790;177274;63858797;649040;18565287
1410;1295;476;39616375;7762663;37712592;156537679;20016277;192616300
1522;73;114;5048544;719444;1127156;25363572;608679;22350267
3290;53;23;3407158;2075074;166800;5647230;646980;6987847
1104;23;104;8332708;517967;34658770;4078466;5164175;44945425
1081;185;286;15357131;914663;5905506;2495794;3452077;106490924
2750;141;772;30961077;1487159;16163418;110189974;12672212;236006882
3290;57;203;9059250;3583858;1249004;39943070;855624;74513197
1104;146;419;38533922;4051108;14297404;67089243;23019658;488079500
3120;49;92;1936165;627993;4202385;7163819;0;23353666
3120;87;119;4612212;747562;3087221;12801786;9667;37870585
3120;135;276;4800461;867846;6069919;9677419;0;28322783
2790;71;163;8508865;923632;841686;19931076;941037;6648489
1030;56;170;9684465;9473894;19196100;30480742;3446897;316395330
2410;25;147;7326062;869038;2212810;15870375;180713;71941295
2821;23;110;6023658;1653690;830051;19599325;938452;10240161
1030;24;216;10452555;1081651;2972376;9346447;1623736;183083874
1040;46;132;4959474;543217;4536304;11833316;1325824;90612765
3250;112;121;7507488;813163;2574890;10317802;781534;52489448
1430;402;101;11002358;672627;1984055;8112742;875513;31058660
1090;11;57;2166734;569776;233391;12083228;198361;84023575
2023;546;61;10587981;717105;1347402;10136895;3743148;24735684
2012;11;71;5045490;878284;2372038;62785576;388141;172779783
1410;1289;979;84281371;5869669;96547744;115948953;14321144;423195220
2229;34;183;8937508;1692136;1426365;18001784;604121;47261702
2930;331;105;12001629;534393;9818638;20876122;795711;72958879
2221;14;141;5839067;781499;598339;5812245;516449;21287487
2310;72;271;32334949;635362;34090113;23210521;92544622;321070109
2930;42;279;12598883;571621;8663185;7574772;3016448;120308325
1709;55;230;17645886;8684099;8388568;32131991;18627500;165364432
2023;498;430;50545524;1911592;47372770;121808079;13500883;330867394
1811;232;293;19630916;576924;11551500;42306984;4003040;128858109
2100;120;114;20606214;3671701;2948079;19311782;11485200;50916097
2021;28;113;14001910;8686016;21059732;39430597;25150313;379365700
3091;88;373;22088759;35203208;4175751;171278876;10501572;162509864
2790;50;229;14560363;1126494;8638367;52055138;2479205;239853816
1020;13;7;814349;2255018;3566733;5186821;1389081;20658258
1392;186;189;9824588;644236;5538506;17989949;202001;53867329
1513;235;155;13764360;1008339;3709458;113774794;7426174;19113344
1089;93;205;10934460;1384050;16959038;19344292;11555678;136493373
1040;202;227;8437645;844547;2219372;9083573;0;179563553
2790;83;103;4954499;1145917;982169;19761690;1152094;74585881
1512;317;347;20778012;1959124;43341034;111263278;4460590;86139009
2511;23;184;5348684;888715;1382134;2481179;0;21341229
2819;34;183;5604782;766388;3693139;7348091;154081;40511350
3290;48;165;14388759;1298038;2411558;93408606;13803760;259751220
2410;25;147;7326062;869038;2212810;15870375;180713;71941295
3290;18;53;5219070;2861773;11037978;13691919;6423171;87324374
1522;73;114;5048544;719444;1127156;25363572;608679;22350267
1410;168;79;4313370;2536326;1091825;10411640;130924;24727124
1011;31;381;8647705;2271187;12996291;18395048;12019940;163507993
1081;13;92;2390254;675969;430647;2489225;816959;12748618
1410;75;46;3841134;965458;1628182;4995052;0;20050214
3250;112;121;7507488;813163;2574890;10317802;781534;52489448
1709;55;230;17645886;8684099;8388568;32131991;18627500;165364432
1061;24;99;3720876;644549;3799372;52493572;9086434;306175590
2599;41;260;13004644;7721156;3922220;18204036;2272796;66037827
3290;214;377;23104950;5485223;40417936;64778937;1462970922;199754812
2023;40;31;1958395;836029;1649459;2977360;1265753;12237080
1399;39;87;4017272;595737;1541617;4225602;1083299;18576015
2750;141;772;30961077;1487159;16163418;110189974;12672212;236006882
1811;47;59;3450118;534756;2152567;1404115;773000;9811136
2023;69;40;3422605;1470689;493775;13017517;563538;14741432
2023;498;430;50545524;1911592;47372770;121808079;13500883;330867394
1089;30;53;2999176;529765;1558788;2936693;1044994;19431246
3290;14;37;1316866;792992;513715;10271500;31115;21455900
1522;266;226;10415341;1980299;9221885;36847356;704003;28911314
3290;6;15;610076;572861;2389935;2294215;0;27517554
2023;34;82;2899173;957762;1062548;7390612;4071038;28432446
2229;135;273;12251533;838849;8613102;21585978;21446388;110137266
2395;31;275;13412476;4757614;18400996;29882684;6412747;121226640
1702;6;16;553982;722341;4077105;1481937;0;6017729
2819;34;183;5604782;766388;3693139;7348091;154081;40511350
2790;71;163;8508865;923632;841686;19931076;941037;6648489
2012;11;71;5045490;878284;2372038;62785576;388141;172779783
1410;18;4;561813;737372;138924;866653;0;291191
1081;73;111;4461561;2928217;1011710;48608741;3133090;22469476
2012;11;71;5045490;878284;2372038;62785576;388141;172779783
3290;41;290;56192846;11792782;259223644;210377611;59336962;626986551
2029;33;52;3646856;1133469;1930818;10549951;609369;27720084
3290;78;51;5830765;1016072;1909412;23052457;6411047;31827897
2023;39;66;2091488;1120571;836785;5154205;4807;21431599
1030;44;76;2572560;639654;545018;3091079;398940;63516112
2429;18;83;3779808;8276256;921847;13534032;2091752;321985848
2221;15;40;1248906;571066;1037291;1612293;1406724;8445873
2221;85;88;5199646;554512;336148;3208783;855593;29710189
1089;184;136;10262951;2339587;11016873;7133849;9544726;123686337
2100;37;47;5858383;1227447;14002045;12189206;2915550;32497220
2013;34;105;5088185;534027;942121;8919706;2791005;57811869
2229;41;112;6794384;1743646;4856477;10907157;18818562;135150368
1811;35;38;2087713;544706;525839;3185681;28077;7642522
1011;96;186;7713756;995296;365107;8969062;1513289;13069720
1061;24;99;3720876;644549;3799372;52493572;9086434;306175590
3091;187;720;39345336;6634856;11389962;218912350;810139;465063496
2740;81;123;7021878;1178662;4159614;17746860;1936901;37339666
2100;130;149;11027880;1261250;1324321;18028558;311491;32504403
2511;26;250;7017063;558375;5667868;1235648;546278;34825920
1811;63;138;6032863;585451;1761610;5379007;3633798;26020537
1410;26;31;2340113;536590;4408504;2148117;241891;13143815
1410;159;69;14245208;10779011;40183490;47427773;1859701;187086950
1410;1289;979;84281371;5869669;96547744;115948953;14321144;423195220
2790;71;163;8508865;923632;841686;19931076;941037;6648489
1011;133;411;14168903;3825132;13034818;17564786;3061648;165574566
2399;48;165;8825513;597821;6688709;8951688;3836499;41649898
1399;39;87;4017272;595737;1541617;4225602;1083299;18576015
1410;110;47;6741848;4322209;12217500;31623618;511247;95716296
1410;12;3;752856;904359;4495775;5790273;1534901;17011513
2021;53;202;10749305;961212;6569304;18373119;2873470;109902499
1410;386;292;2115723;2435485;74731081;84530732;595782;141493006
1082;157;296;21648490;805900;12959271;57941146;5970883;260836023
2229;15;55;3356297;676225;3904978;5450531;19967015;91101222
1081;69;95;3587427;1206637;2276996;3822122;192805;18344144
1410;61;28;3478034;882020;1206149;9046652;21924323;9932602
1061;18;31;1173516;992244;429738;9067226;0;29247762
2920;76;466;14468726;4051231;2758857;8135755;893847;68496181
2920;76;466;14468726;4051231;2758857;8135755;893847;68496181
1071;100;578;47892609;518838;44427434;87138910;42426113;388005721
1410;717;307;34239982;2888803;35611094;116385178;8742168;179418565
2011;70;214;19375081;5034518;9135646;74473131;16697670;191763413
1709;15;97;4037396;6652920;6569774;24208883;2199046;282448411
1709;68;199;8011742;715906;2643444;15251992;1713463;109770298
1081;185;286;15357131;914663;5905506;2495794;3452077;106490924
2599;41;260;13004644;7721156;3922220;18204036;2272796;66037827
1082;430;1133;59840526;1199863;41319523;183821129;16174154;731396391
2029;33;52;3646856;1133469;1930818;10549951;609369;27720084
2599;41;260;13004644;7721156;3922220;18204036;2272796;66037827
1410;296;61;7977702;1516684;3325170;4677939;63568;20980401
1811;232;293;19630916;576924;11551500;42306984;4003040;128858109
1089;79;137;6273825;785246;3975875;6120552;4918954;60356282
1410;717;307;34239982;2888803;35611094;116385178;8742168;179418565
1811;232;293;19630916;576924;11551500;42306984;4003040;128858109
1410;717;307;34239982;2888803;35611094;116385178;8742168;179418565
2011;70;214;19375081;5034518;9135646;74473131;16697670;191763413
1410;1295;476;39616375;7762663;37712592;156537679;20016277;192616300
1011;31;381;8647705;2271187;12996291;18395048;12019940;163507993
1090;32;117;6407389;521606;10005028;23178261;1426849;278980187
2825;43;215;9386665;647945;5445839;5027657;364272;33370073
3120;87;119;4612212;747562;3087221;12801786;9667;37870585
1030;31;98;4744530;1927421;4131205;13444930;12057995;110167660
1089;184;136;10262951;2339587;11016873;7133849;9544726;123686337
1104;146;419;38533922;4051108;14297404;67089243;23019658;488079500
2013;34;105;5088185;534027;942121;8919706;2791005;57811869
1090;86;230;18389235;1275565;11140310;52894669;4402522;414619492
2229;14;45;1469486;1261998;1014134;2906610;150837;11677471
2100;61;38;7387312;3194149;896551;33646853;105344;52964381
2593;10;17;1072767;773049;555710;1721588;372082;7514290
2100;115;59;5669798;717041;8918125;25183715;69317638;86597330
2930;331;105;12001629;534393;9818638;20876122;795711;72958879
1011;71;34;3184204;4035668;952302;195253916;14238095;38485306
1522;266;226;10415341;1980299;9221885;36847356;704003;28911314
2790;83;103;4954499;1145917;982169;19761690;1152094;74585881
1089;184;136;10262951;2339587;11016873;7133849;9544726;123686337
2100;115;55;3846152;782325;1846810;1988219;1098557;9529577
2410;58;670;47772172;536046;70322406;75631936;28422712;536687105
2599;47;197;14535620;3429677;10839509;89749320;4682533;131567450
2100;79;48;4760406;6532130;2994105;24157166;425686;38039164
1522;266;226;10415341;1980299;9221885;36847356;704003;28911314
2100;9;61;3412622;521743;1511200;7671842;328569;18277270
2229;13;99;2481988;570362;1723549;3014114;782000;21940730
3120;178;287;17866421;1025379;2514217;34162884;1244431;79861793
2410;5;35;1015423;660761;137992;1877437;0;2727899
2100;34;39;3955605;1335140;1679541;2682531;369409;20259501
2100;435;266;25263525;1115330;5434257;25357426;1318569;124405266
1081;132;730;44924053;1179435;46476540;80104190;5979907;327847201
1090;86;230;18389235;1275565;11140310;52894669;4402522;414619492
2930;331;105;12001629;534393;9818638;20876122;795711;72958879
1030;31;98;4744530;1927421;4131205;13444930;12057995;110167660
1011;12;38;1091210;2125857;423724;92357473;3042386;38908734
2100;413;513;53933736;893326;12170969;64099895;7873975;287534695
2021;28;113;14001910;8686016;21059732;39430597;25150313;379365700
3290;59;47;6810663;1107866;2496129;20843122;372069;22719044
2029;119;310;35619346;511307;21812080;113654903;6298885;355534251
1051;36;140;9352991;3240559;6846304;22920307;4979745;192609248
2229;9;44;1879548;859687;884554;3512525;369049;29033622
1030;40;176;7334998;1468298;5941761;12310286;5615593;115741258
