edad;sexo;actividad;comuna
62;hombre;produccion;90
51;hombre;comercio;4
40;mujer;servicios;16
39;hombre;produccion;90
35;hombre;servicios;12
43;hombre;produccion;80
36;hombre;comercio;16
46;hombre;servicios;16
47;hombre;servicios;10
45;mujer;comercio;16
33;hombre;comercio;4
34;hombre;comercio;10
35;mujer;comercio;13
43;mujer;produccion;13
33;hombre;comercio;16
31;mujer;comercio;5
35;mujer;produccion;15
36;hombre;comercio;12
64;hombre;servicios;6
61;hombre;produccion;80
63;hombre;produccion;80
49;hombre;servicios;7
60;hombre;comercio;10
59;hombre;servicios;10
74;hombre;comercio;4
43;hombre;comercio;80
60;hombre;produccion;60
59;hombre;servicios;10
60;hombre;comercio;7
60;hombre;comercio;10
58;hombre;comercio;70
50;hombre;servicios;50
66;hombre;produccion;1
66;hombre;produccion;6
67;hombre;comercio;6
60;hombre;comercio;3
63;hombre;comercio;80
60;hombre;comercio;1
72;hombre;comercio;9
55;hombre;produccion;5
50;hombre;comercio;13
60;hombre;produccion;13
61;hombre;produccion;13
64;hombre;comercio;7
66;hombre;produccion;7
69;hombre;comercio;10
38;mujer;comercio;4
39;mujer;comercio;4
64;hombre;comercio;60
35;hombre;comercio;6
45;hombre;comercio;16
35;hombre;comercio;4
40;hombre;comercio;2
59;hombre;produccion;1
50;hombre;comercio;4
49;hombre;comercio;1
71;hombre;comercio;6
71;hombre;comercio;6
65;hombre;comercio;10
70;hombre;servicios;1
56;mujer;comercio;9
57;mujer;comercio;9
58;hombre;comercio;6
70;hombre;comercio;10
65;hombre;comercio;3
64;hombre;comercio;3
30;hombre;comercio;10
65;hombre;comercio;3
63;hombre;produccion;60
67;hombre;produccion;3
60;hombre;comercio;3
38;hombre;comercio;4
69;hombre;comercio;4
62;hombre;comercio;3
60;hombre;comercio;10
52;hombre;comercio;5
52;hombre;comercio;9
66;hombre;comercio;1
54;hombre;produccion;1
63;hombre;comercio;3
53;hombre;comercio;3
55;hombre;comercio;3
37;hombre;servicios;4
38;hombre;comercio;7
66;hombre;comercio;2
63;hombre;comercio;3
59;hombre;servicios;9
34;hombre;comercio;50
60;hombre;produccion;7
58;hombre;comercio;80
56;hombre;comercio;7
58;hombre;comercio;6
59;hombre;comercio;13
66;hombre;comercio;5
53;mujer;comercio;1
64;hombre;comercio;2
29;hombre;comercio;13
50;hombre;comercio;1
59;hombre;comercio;8
70;hombre;comercio;90
60;hombre;comercio;2
62;hombre;comercio;2
62;hombre;servicios;9
22;hombre;servicios;9
55;hombre;comercio;4
57;hombre;comercio;10
53;hombre;comercio;1
60;hombre;comercio;1
47;hombre;comercio;4
68;hombre;comercio;3
67;hombre;comercio;4
61;hombre;comercio;9
57;hombre;produccion;6
54;hombre;servicios;7
60;hombre;comercio;4
67;hombre;produccion;5
64;mujer;comercio;10
68;hombre;comercio;1
69;hombre;comercio;1
67;hombre;comercio;8
33;hombre;comercio;10
36;hombre;comercio;12
49;hombre;comercio;16
62;hombre;comercio;16
63;hombre;comercio;1
58;hombre;comercio;4
59;hombre;comercio;10
32;hombre;comercio;4
64;hombre;servicios;6
68;hombre;comercio;10
40;hombre;comercio;4
44;hombre;produccion;16
58;hombre;comercio;2
65;hombre;comercio;2
48;hombre;comercio;5
60;hombre;comercio;7
56;hombre;comercio;7
58;hombre;servicios;70
56;hombre;servicios;4
71;mujer;comercio;3
56;hombre;comercio;2
58;hombre;comercio;2
41;hombre;comercio;10
43;hombre;comercio;1
47;hombre;comercio;8
61;hombre;servicios;1
54;hombre;comercio;7
60;hombre;comercio;3
52;hombre;comercio;14
54;hombre;comercio;14
56;hombre;comercio;10
56;hombre;comercio;10
58;hombre;comercio;10
64;hombre;comercio;8
63;hombre;comercio;8
53;hombre;produccion;7
47;hombre;comercio;1
48;hombre;comercio;1
51;hombre;comercio;7
71;hombre;comercio;10
66;hombre;comercio;4
67;hombre;produccion;7
56;hombre;comercio;1
69;hombre;produccion;1
39;hombre;produccion;16
59;hombre;comercio;10
61;hombre;comercio;10
49;hombre;comercio;4
48;hombre;produccion;16
59;hombre;produccion;3
69;hombre;comercio;12
62;mujer;comercio;5
63;hombre;servicios;80
66;hombre;servicios;4
56;hombre;comercio;1
58;hombre;comercio;1
57;hombre;comercio;80
57;hombre;comercio;1
58;hombre;comercio;80
39;hombre;comercio;4
42;hombre;comercio;11
58;hombre;comercio;1
50;hombre;comercio;10
33;hombre;comercio;10
32;hombre;produccion;13
34;hombre;comercio;12
33;hombre;comercio;13
32;hombre;comercio;12
32;hombre;comercio;15
45;hombre;comercio;10
34;hombre;comercio;60
32;hombre;comercio;10
64;hombre;comercio;3
67;hombre;comercio;3
55;hombre;comercio;4
44;hombre;comercio;13
35;hombre;servicios;4
33;hombre;comercio;7
32;hombre;comercio;3
32;hombre;servicios;4
33;hombre;comercio;10
32;hombre;servicios;16
33;hombre;servicios;60
31;hombre;comercio;7
34;hombre;produccion;6
34;hombre;comercio;6
34;hombre;comercio;11
32;hombre;comercio;8
33;hombre;servicios;3
34;hombre;comercio;6
32;hombre;comercio;7
31;hombre;produccion;7
36;hombre;comercio;16
35;hombre;servicios;11
33;hombre;produccion;90
32;hombre;servicios;1
34;hombre;servicios;1
33;hombre;servicios;11
35;hombre;produccion;10
35;hombre;servicios;8
33;hombre;produccion;9
37;hombre;comercio;9
33;hombre;comercio;4
34;hombre;produccion;9
34;hombre;comercio;10
34;hombre;servicios;9
57;hombre;comercio;7
39;hombre;comercio;2
38;hombre;comercio;7
32;hombre;produccion;4
37;hombre;comercio;3
32;mujer;comercio;8
34;hombre;comercio;7
34;hombre;comercio;6
35;hombre;servicios;1
35;hombre;comercio;3
32;hombre;servicios;6
33;hombre;produccion;9
34;hombre;servicios;9
34;hombre;comercio;9
