"","cupo","edad","saldo","pago"
"1",20000,24,0,0
"2",120000,26,3261,2000
"3",90000,34,15549,5000
"4",50000,37,29547,1000
"5",50000,57,19131,679
"6",50000,37,20024,800
"7",500000,29,473944,13770
"8",100000,23,567,1542
"9",140000,28,3719,1000
"10",20000,35,13912,0
"11",200000,34,3731,66
"12",260000,51,13668,3640
"13",630000,41,2870,0
"14",70000,30,36894,0
"15",250000,29,55512,3000
"16",50000,23,30211,1100
"17",20000,24,19104,0
"18",320000,49,195599,50000
"19",360000,49,0,0
"20",180000,29,0,0
"21",130000,39,930,33764
"22",120000,39,316,0
"23",70000,26,46012,1820
"24",450000,40,0,1128
"25",90000,23,8292,2000
"26",50000,23,30046,997
"27",60000,27,-189,1000
"28",50000,30,19617,1012
"29",50000,47,257,0
"30",50000,26,11400,0
"31",230000,27,36923,0
"32",50000,33,23680,716
"33",100000,32,75589,2504
"34",500000,54,8981,51582
"35",500000,58,5293,768
"36",160000,30,-1884,0
"37",280000,40,177413,6737
"38",60000,22,18660,617
"39",50000,25,0,0
"40",280000,31,9477,781
"41",360000,33,179224,4000
"42",70000,25,65970,2500
"43",10000,22,4451,500
"44",140000,37,69802,3000
"45",40000,30,29197,0
"46",210000,29,0,0
"47",20000,22,0,0
"48",150000,46,0,0
"49",380000,32,11873,8251
"50",20000,24,20063,1069
"51",70000,42,39362,1500
"52",100000,43,33258,1000
"53",310000,49,464,0
"54",180000,25,45319,1622
"55",150000,29,16540,5000
"56",500000,45,2530,0
"57",180000,34,8321,2000
"58",180000,34,129918,3800
"59",200000,34,1414,0
"60",400000,29,364089,23000
"61",500000,28,15571,2000
"62",70000,39,830,0
"63",50000,29,28264,0
"64",50000,46,0,0
"65",130000,51,0,0
"66",200000,57,7918,1000
"67",10000,56,4326,160
"68",210000,30,4250,909
"69",130000,29,7319,13899
"70",20000,22,5982,0
"71",80000,31,390,390
"72",320000,29,63526,1600
"73",200000,32,3151,1395
"74",290000,37,0,0
"75",340000,32,25820,2016
"76",20000,24,18543,0
"77",50000,25,10030,1000
"78",300000,45,291,291
"79",30000,22,6411,0
"80",240000,44,0,0
"81",470000,33,29889,3000
"82",360000,26,196,2963
"83",60000,30,19771,0
"84",400000,44,94058,2800
"85",50000,49,19482,826
"86",160000,33,120418,4500
"87",360000,45,390,390
"88",160000,32,766,2303
"89",130000,35,1190,2090
"90",20000,44,11970,1500
"91",200000,53,149531,5000
"92",280000,39,0,0
"93",100000,27,0,0
"94",160000,37,0,7736
"95",60000,23,19323,835
"96",90000,35,30835,1143
"97",360000,43,9956,68978
"98",150000,27,40788,800
"99",50000,22,7899,197
"100",20000,38,150,0
"101",140000,32,1430,0
"102",380000,30,34056,5000
