Ciudad;Ingresos;Costos;EBIT;Intereses;Utilidad_Neta;Activos
MEDELLIN-ANTIOQUIA;2136451;1687844;448607;8472;56507;6063815
MEDELLIN-ANTIOQUIA;164732037;126178901;38553136;12215676;4843489;223739275
MEDELLIN-ANTIOQUIA;33249670;28895522;4354148;1887904;-2222463;67656867
MEDELLIN-ANTIOQUIA;43507304;33316111;10191193;3310418;2863775;50381400
MEDELLIN-ANTIOQUIA;177755435;154162943;23592492;4336448;-2265697;105270038
MEDELLIN-ANTIOQUIA;111235862;83921324;27314538;939505;11161049;109176502
MEDELLIN-ANTIOQUIA;7204628;5903914;1300714;0;135258;19720385
MEDELLIN-ANTIOQUIA;11746646;0;11746646;312652;1487945;61064983
MEDELLIN-ANTIOQUIA;41630949;40277646;1353303;2059534;-6237259;43639151
MEDELLIN-ANTIOQUIA;43707709;37029754;6677955;1034676;-501453;13207051
MEDELLIN-ANTIOQUIA;61372344;44694014;16678330;626975;4820954;68558623
MEDELLIN-ANTIOQUIA;31983928;23789317;8194611;0;2042398;17588630
MEDELLIN-ANTIOQUIA;30135157;24866295;5268862;0;91807;7131330
MEDELLIN-ANTIOQUIA;142459685;83771705;58687980;23182846;-11983878;242697375
MEDELLIN-ANTIOQUIA;2979832;3023372;-43540;154870;-908973;42922088
MEDELLIN-ANTIOQUIA;4143502;3770587;372915;23407;136718;16947250
MEDELLIN-ANTIOQUIA;14913002;10020618;4892384;1763425;1916525;23425863
MEDELLIN-ANTIOQUIA;409870000;191621000;218249000;12058000;11090000;240339000
MEDELLIN-ANTIOQUIA;2982557;0;2982557;131344;1895322;21913716
MEDELLIN-ANTIOQUIA;331096;11867;319229;17077;-372720;4515756
MEDELLIN-ANTIOQUIA;18109372;6674267;11435105;1249444;11582;32764320
MEDELLIN-ANTIOQUIA;10424464;7565734;2858730;691876;-161006;9645000
MEDELLIN-ANTIOQUIA;0;0;0;37548;-19599;57494450
MEDELLIN-ANTIOQUIA;45710000;33102000;12608000;9105000;1093000;194344000
MEDELLIN-ANTIOQUIA;157416136;116098541;41317595;1043567;11134319;219019589
MEDELLIN-ANTIOQUIA;12448298;9689253;2759045;160578;-639827;6501151
