"","datos.gasto_personal","datos.costos_gastos_produccion","datos.ventas","datos.inversion_AF"
"1011",1459203,177274,18565287,649040
"1020",814349,3566733,20658258,1389081
"1030",7334998,5941761,115741258,5615593
"1040",4959474,4536304,90612765,1325824
"1051",9352991,6846304,192609248,4979745
"1061",3720876,3799372,306175590,9086434
"1071",47892609,44427434,388005721,42426113
"1081",11081213,1843527,26727389,50853587
"1082",21648490,12959271,260836023,5970883
"1089",10934460,16959038,136493373,11555678
"1090",2166734,233391,84023575,198361
"1104",8332708,34658770,44945425,5164175
"1312",41456797,13218127,160763941,1498564
"1391",6037085,2679166,18034746,68696
"1392",9824588,5538506,53867329,202001
"1399",4017272,1541617,18576015,1083299
"1410",8575341,4002790,57342249,312822
"1430",11002358,1984055,31058660,875513
"1512",20778012,43341034,86139009,4460590
"1513",13764360,3709458,19113344,7426174
"1521",7919080,1219881,23857010,1240530
"1522",5048544,1127156,22350267,608679
"1701",50177477,44356723,365849674,15578059
"1702",553982,4077105,6017729,0
"1709",17645886,8388568,165364432,18627500
"1811",19630916,11551500,128858109,4003040
"2011",19375081,9135646,191763413,16697670
"2012",5045490,2372038,172779783,388141
"2013",5088185,942121,57811869,2791005
"2021",14001910,21059732,379365700,25150313
"2022",4756263,1622747,59514053,265025
"2023",10587981,1347402,24735684,3743148
"2029",3646856,1930818,27720084,609369
"2100",20606214,2948079,50916097,11485200
"2221",5839067,598339,21287487,516449
"2229",8937508,1426365,47261702,604121
"2310",32334949,34090113,321070109,92544622
"2392",3388282,2323665,20187362,9468921
"2393",16732601,4329647,64443517,1184062
"2395",13412476,18400996,121226640,6412747
"2399",8825513,6688709,41649898,3836499
"2410",7326062,2212810,71941295,180713
"2429",3779808,921847,321985848,2091752
"2511",5348684,1382134,21341229,0
"2593",1072767,555710,7514290,372082
"2599",13004644,3922220,66037827,2272796
"2711",6890522,2528527,42804530,1391766
"2740",7021878,4159614,37339666,1936901
"2750",30961077,16163418,236006882,12672212
"2790",8508865,841686,6648489,941037
"2819",5604782,3693139,40511350,154081
"2821",6023658,830051,10240161,938452
"2825",9386665,5445839,33370073,364272
"2920",14468726,2758857,68496181,893847
"2930",12001629,9818638,72958879,795711
"3091",22088759,4175751,162509864,10501572
"3110",4034848,1602374,7735460,75594
"3120",1936165,4202385,23353666,0
"3250",7507488,2574890,52489448,781534
"3290",6668544,6996020,44580029,773444
