Actividad;Departamento;Ingresos;Utilidad_operacional;Costos_financieros;Utilidad_neta;Activos;Pasivos;Ganancias_acumuladas
Platano y banano;ANTIOQUIA;2136451;95069;8472;56507;6063815;550800;2163306
Platano y banano;ANTIOQUIA;1613299;-50570;7252;-44257;5556405;448950;2050395
Flor de corte;ANTIOQUIA;5065771;-2310291;1351610;-3661901;25377007;21121567;222133
Flor de corte;ANTIOQUIA;7250996;-975299;413251;-1395019;26269212;17652661;4583244
Platano y banano;ANTIOQUIA;164732037;17053902;12215676;4843489;223739275;62025684;114613784
Platano y banano;ANTIOQUIA;119589207;-7513703;7684581;-11657776;277657131;95782578;126412968
Cana de azucar;VALLE;8894361;4717167;41278;3378764;98875420;7858692;4356703
Cana de azucar;VALLE;5839345;2761862;34616;2223339;97155366;7596958;1776954
Flor de corte;CUNDINAMARCA;62904471;5456472;1874682;2559325;54915366;26751217;6197379
Flor de corte;CUNDINAMARCA;58112038;2007470;1349870;280578;53675586;27292295;4299612
Platano y banano;ANTIOQUIA;18543480;1955832;357730;1229399;52580084;20916839;7073585
Platano y banano;ANTIOQUIA;14212254;1240805;318970;808776;48687939;20536312;7191993
Flor de corte;ANTIOQUIA;33249670;-1292028;1887904;-2222463;67656867;24744983;38387749
Flor de corte;ANTIOQUIA;41779924;4151147;1340532;2082220;68318628;23184281;40698569
Flor de corte;ANTIOQUIA;20790095;3431665;1797084;413021;46562563;22268532;4604500
Flor de corte;ANTIOQUIA;17201326;2803077;1517023;731601;45086289;21205279;4191479
Flor de corte;BOGOTA D.C.;66424284;11173392;15253217;149350;121094969;130244631;-102413161
Flor de corte;BOGOTA D.C.;60254232;9737031;11727089;-1449723;124185708;134639199;-102562511
Flor de corte;ANTIOQUIA;16643290;813919;964126;-126840;42165598;16171427;10491794
Flor de corte;ANTIOQUIA;19791798;569805;960768;-399204;39989862;17318851;10618634
Platano y banano;ANTIOQUIA;210968757;20226420;1082048;11609283;279757128;78593338;91561751
Platano y banano;ANTIOQUIA;175356623;5390976;1095639;2758061;262780176;73225669;82710529
Platano y banano;ANTIOQUIA;7288503;778891;0;553386;7214018;1541278;3358946
Platano y banano;ANTIOQUIA;6041947;769666;1931;522621;6402861;1283507;3328181
Platano y banano;ANTIOQUIA;14812431;781095;4885;402362;19728332;14543990;-810237
