Fecha;COLCAP;PFBCOLOM;ECO
1/01/2017;1357,47;27560,00;1375,00
1/02/2017;1326,31;27300,00;1320,00
1/03/2017;1365,61;28700,00;1350,00
1/04/2017;1371,54;28720,00;1360,00
1/05/2017;1439,48;32260,00;1335,00
1/06/2017;1462,90;33900,00;1380,00
1/07/2017;1481,37;32700,00;1395,00
1/08/2017;1482,27;33600,00;1370,00
1/09/2017;1487,52;33780,00;1400,00
1/10/2017;1424,58;29000,00;1665,00
1/11/2017;1445,23;29200,00;1750,00
1/12/2017;1513,65;29920,00;2210,00
1/01/2018;1558,18;32460,00;2660,00
1/02/2018;1478,33;30180,00;2510,00
1/03/2018;1455,52;29280,00;2615,00
1/04/2018;1565,56;33300,00;3100,00
1/05/2018;1546,71;33500,00;3090,00
1/06/2018;1577,01;35720,00;3025,00
1/07/2018;1526,60;33200,00;3070,00
1/08/2018;1542,77;33200,00;3420,00
1/09/2018;1506,07;31300,00;4030,00
1/10/2018;1392,18;30100,00;3740,00
1/11/2018;1379,24;32220,00;3105,00
1/12/2018;1325,93;31400,00;2645,00
1/01/2019;1447,01;34360,00;2920,00
1/02/2019;1508,27;37120,00;3120,00
1/03/2019;1587,74;40400,00;3415,00
1/04/2019;1573,64;40900,00;2985,00
1/05/2019;1487,00;39500,00;2765,00
1/06/2019;1548,98;40800,00;2920,00
1/07/2019;1562,13;41260,00;2940,00
1/08/2019;1559,52;42740,00;2740,00
1/09/2019;1577,96;43000,00;2950,00
1/10/2019;1633,15;44120,00;3040,00
1/11/2019;1611,92;43340,00;3290,00
1/12/2019;1662,42;45800,00;3315,00
1/01/2020;1623,83;44700,00;3180,00
1/02/2020;1549,61;42080,00;3105,00
1/03/2020;1123,85;27500,00;1900,00
1/04/2020;1142,04;25880,00;2090,00
1/05/2020;1095,84;24600,00;1990,00
1/06/2020;1111,80;24700,00;2075,00
1/07/2020;1134,34;26500,00;2080,00
1/08/2020;1216,03;26720,00;2190,00
1/09/2020;1171,92;24700,00;1895,00
1/10/2020;1136,75;24500,00;1791,00
1/11/2020;1258,00;27890,00;2081,00
1/12/2020;1437,89;35100,00;2245,00
1/01/2021;1348,12;31520,00;2030,00
1/02/2021;1359,48;31000,00;2250,00
1/03/2021;1316,81;29180,00;2366,00
1/04/2021;1250,65;28000,00;2210,00
1/05/2021;1200,90;27600,00;2190,00
1/06/2021;1248,83;26820,00;2722,00
1/07/2021;1236,73;27800,00;2633,00
1/08/2021;1319,96;31400,00;2643,00
1/09/2021;1361,95;33000,00;2734,00
1/10/2021;1394,04;33800,00;2847,00
1/11/2021;1373,84;32400,00;2600,00
1/12/2021;1410,97;32000,00;2690,00
1/01/2022;1536,92;35240,00;2905,00
